"Route","File","HeroImage","OgImage","AllImageRefs"
"/blog","C:\thenorthtrip\app\blog\page.tsx","/images/hero/hero-blog-planning.jpg","/images/og/og-blog.jpg","/images/og/og-blog.jpg | /images/hero/hero-blog-planning.jpg"
"/camper-rental-finland","C:\thenorthtrip\app\camper-rental-finland\page.tsx","/images/hero/hero-finland-lakes-road.jpg","/images/og/og-camper-coastal.jpg","/images/og/og-camper-coastal.jpg | /images/hero/hero-finland-lakes-road.jpg"
"/camper-rental-finland/routes/coastal","C:\thenorthtrip\app\camper-rental-finland\routes\coastal\page.tsx","/images/hero/hero-camper-coastal-road.jpg","","/images/hero/hero-camper-coastal-road.jpg"
"/camper-rental-finland/routes/helsinki-lapland","C:\thenorthtrip\app\camper-rental-finland\routes\helsinki-lapland\page.tsx","/images/hero/hero-helsinki-lapland-road.jpg","","/images/hero/hero-helsinki-lapland-road.jpg"
"/camper-rental-finland/routes/southern-lakes","C:\thenorthtrip\app\camper-rental-finland\routes\southern-lakes\page.tsx","/images/hero/hero-finland-lakes-road.jpg","","/images/hero/hero-finland-lakes-road.jpg"
"/camper-rental-finland/stations/helsinki","C:\thenorthtrip\app\camper-rental-finland\stations\helsinki\page.tsx","/images/hero/hero-camper-station-helsinki.jpg","","/images/hero/hero-camper-station-helsinki.jpg"
"/camper-rental-finland/stations/rovaniemi","C:\thenorthtrip\app\camper-rental-finland\stations\rovaniemi\page.tsx","/images/hero/hero-camper-station-rovaniemi.jpg","","/images/hero/hero-camper-station-rovaniemi.jpg"
"/camper-rental-finland/stations/tampere-turku","C:\thenorthtrip\app\camper-rental-finland\stations\tampere-turku\page.tsx","/images/hero/hero-camper-station-tampere-turku.jpg","","/images/hero/hero-camper-station-tampere-turku.jpg"
"/car-rental-helsinki","C:\thenorthtrip\app\car-rental-helsinki\page.tsx","/images/hero/hero-finland-winter-road.jpg","/images/og/og-default.jpg","/images/og/og-default.jpg | /images/hero/hero-finland-winter-road.jpg"
"/get-help","C:\thenorthtrip\app\get-help\page.tsx","/images/hero/hero-get-help.jpg","/images/og/og-get-help.jpg","/images/og/og-get-help.jpg | /images/hero/hero-get-help.jpg"
"/getting-around-finland","C:\thenorthtrip\app\getting-around-finland\page.tsx","/images/hero/hero-helsinki-tram.jpg","/images/og/og-default.jpg","/images/og/og-default.jpg | /images/hero/hero-helsinki-tram.jpg"
"/helsinki/airport-transfers","C:\thenorthtrip\app\helsinki\airport-transfers\page.tsx","/images/hero/hero-helsinki-airport.jpg","/images/og/og-helsinki-airport-transfers.jpg","/images/og/og-helsinki-airport-transfers.jpg | /images/hero/hero-helsinki-airport.jpg"
"/helsinki/city-mobility","C:\thenorthtrip\app\helsinki\city-mobility\page.tsx","/images/hero/hero-helsinki-tram.jpg","/images/og/og-helsinki-city-mobility.jpg","/images/og/og-helsinki-city-mobility.jpg | /images/hero/hero-helsinki-tram.jpg"
"/helsinki/ferry-cruise","C:\thenorthtrip\app\helsinki\ferry-cruise\page.tsx","/images/hero/hero-helsinki-ferry.jpg","/images/og/og-helsinki-ferry-cruise.jpg","/images/og/og-helsinki-ferry-cruise.jpg | /images/hero/hero-helsinki-ferry.jpg"
"/helsinki/restaurants","C:\thenorthtrip\app\helsinki\restaurants\page.tsx","/images/hero/hero-helsinki-restaurant.jpg","/images/og/og-helsinki-restaurants.jpg","/images/og/og-helsinki-restaurants.jpg | /images/hero/hero-helsinki-restaurant.jpg"
"/helsinki/sauna","C:\thenorthtrip\app\helsinki\sauna\page.tsx","/images/hero/hero-helsinki-sauna.jpg","/images/og/og-helsinki-sauna.jpg","/images/og/og-helsinki-sauna.jpg | /images/hero/hero-helsinki-sauna.jpg"
"/helsinki/sightseeing","C:\thenorthtrip\app\helsinki\sightseeing\page.tsx","/images/hero/hero-helsinki-cathedral.jpg","/images/og/og-helsinki-sightseeing.jpg","/images/og/og-helsinki-sightseeing.jpg | /images/hero/hero-helsinki-cathedral.jpg"
"/lapland-tours/destinations","C:\thenorthtrip\app\lapland-tours\destinations\page.tsx","/images/hero/hero-lapland-rovaniemi-aurora.jpg","","/images/hero/hero-lapland-rovaniemi-aurora.jpg"
"/lapland-tours/inari","C:\thenorthtrip\app\lapland-tours\inari\page.tsx","/images/hero/hero-lapland-inari-lake.jpg","/images/og/og-lapland-inari.jpg","/images/og/og-lapland-inari.jpg | /images/hero/hero-lapland-inari-lake.jpg"
"/lapland-tours/levi","C:\thenorthtrip\app\lapland-tours\levi\page.tsx","/images/hero/hero-lapland-levi-ski.jpg","/images/og/og-lapland-levi.jpg","/images/og/og-lapland-levi.jpg | /images/hero/hero-lapland-levi-ski.jpg"
"/lapland-tours","C:\thenorthtrip\app\lapland-tours\page.tsx","/images/hero/hero-lapland-rovaniemi-aurora.jpg","/images/og/og-lapland-rovaniemi.jpg","/images/og/og-lapland-rovaniemi.jpg | /images/hero/hero-partner-arctic-lifestyle.jpg | /images/hero/hero-partner-viator.jpg | /images/hero/hero-partner-getyourguide.jpg | /images/hero/hero-lapland-rovaniemi-aurora.jpg | /images/mistake-winter.jpg | /images/mistake-fees.jpg | /images/mistake-insurance.jpg | /images/trust-finland-lake-boat.jpg"
"/lapland-tours/partners/arctic-lifestyle","C:\thenorthtrip\app\lapland-tours\partners\arctic-lifestyle\page.tsx","/images/hero/hero-partner-arctic-lifestyle.jpg","","/images/hero/hero-partner-arctic-lifestyle.jpg"
